Date,Cumulative Raw Tisdale Weir RST,Cumulative Raw Knights Landing RST,Cumulative Raw Lower Feather RST,Cumulative Raw Lower Sacramento RST,Cumulative Raw Sacramento Beach Seines (SR080E SR071E SR062E SR057E SR055E SR060E AM001S SR049E),Samples Sacramento Beach Seines (SR080E SR071E SR062E SR057E SR055E SR060E AM001S SR049E),Cumulative Raw Sacramento Trawls (SR055M SR055E SR055W SR055X),Samples Sacramento Trawls (SR055M SR055E SR055W SR055X),Cumulative Raw Chipps Island Trawls (SB018M SB018N SB018S SB018X),Samples Chipps Island Trawls (SB018M SB018N SB018S SB018X)
2023-07-03,,,0,,,,0,10,,
2023-07-04,,,0,,,,,,,
2023-07-05,,,,,0,1,0,9,0,10
2023-07-06,,,,,0,1,,,,
2023-07-07,,,,,,,0,10,0,10
2023-07-08,,,,,,,,,,
2023-07-09,,,,,,,,,,
2023-07-10,,,,,,,0,10,0,10
2023-07-11,,,,,,,,,,
2023-07-12,,,,,,,0,10,,
2023-07-13,,,,,0,2,,,0,10
2023-07-14,,,,,0,2,0,10,0,10
2023-07-15,,,,,,,,,,
2023-07-16,,,,,,,,,,
2023-07-17,,,,,,,0,10,0,10
2023-07-18,,,,,,,,,,
2023-07-19,,,,,,,0,10,0,10
2023-07-20,,,,,,,,,,
2023-07-21,,,,,0,1,0,10,0,10
2023-07-22,,,,,,,,,,
2023-07-23,,,,,,,,,,
2023-07-24,,,,,,,0,10,0,10
2023-07-25,,,,,,,,,,
2023-07-26,,,,,,,0,10,0,5
2023-07-27,,,,,0,1,,,,
2023-07-28,,,,,,,0,10,,
2023-07-29,,,,,,,,,,
2023-07-30,,,,,,,,,,
2023-07-31,,,,,,,,,,
2023-08-01,,,,,,,,,,
2023-08-02,,,,,,,,,,
2023-08-03,,,,,,,,,,
2023-08-04,,,,,,,,,,
2023-08-05,,,,,,,,,,
2023-08-06,,,,,,,,,,
2023-08-07,,,,,,,0,10,0,10
2023-08-08,,,,,,,,,,
2023-08-09,,,,,,,0,10,0,10
2023-08-10,,,,,0,3,,,,
2023-08-11,,,,,,,0,10,,
2023-08-12,,,,,,,,,,
2023-08-13,,,,,,,,,,
2023-08-14,,,,,,,0,10,,
2023-08-15,,,,,,,,,,
2023-08-16,,,,,,,0,10,0,3
2023-08-17,,,,,0,3,,,,
2023-08-18,,,,,,,0,10,,
2023-08-19,,,,,,,,,,
2023-08-20,,,,,,,,,,
2023-08-21,,,,,,,0,10,0,8
2023-08-22,,,,,0,1,,,,
2023-08-23,,,,,,,0,10,0,2
2023-08-24,,,,,0,2,,,,
2023-08-25,,,,,,,0,10,0,3
2023-08-26,,,,,,,,,,
2023-08-27,,,,,,,0,9,,
2023-08-28,,,,,,,0,10,0,10
2023-08-29,,,,,,,,,,
2023-08-30,,,,,,,0,1,0,10
2023-08-31,0,,,,0,2,,,,
2023-09-01,0,,,,0,2,0,10,0,2
2023-09-02,0,,,,,,,,,
2023-09-03,0,,,,,,,,,
2023-09-04,0,,,,,,,,,
2023-09-05,0,,,,0,1,0,10,0,10
2023-09-06,0,,,,,,0,10,,
2023-09-07,0,,,,0,2,,,0,10
2023-09-08,0,,,,,,0,10,0,10
2023-09-09,0,,,,,,,,,
2023-09-10,0,,,,,,,,,
2023-09-11,0,,,,,,0,10,0,10
2023-09-12,0,,,,,,,,,
2023-09-13,0,0,,,0,1,0,10,0,10
2023-09-14,1,0,,,0,2,,,,
2023-09-15,1,0,,,,,0,10,0,8
2023-09-16,1,,,,,,,,,
2023-09-17,1,,,,,,,,,
2023-09-18,2,,,,,,0,10,0,10
2023-09-19,2,0,,0,0,2,,,,
2023-09-20,2,0,,0,,,0,2,0,5
2023-09-21,2,0,,0,0,2,,,,
2023-09-22,2,0,,0,,,0,2,0,10
2023-09-23,2,,,,,,,,,
2023-09-24,2,,,,,,,,,
2023-09-25,2,,,,,,0,10,0,10
2023-09-26,2,1,,0,0,1,,,,
2023-09-27,2,1,,0,,,0,10,0,10
2023-09-28,2,2,,0,0,2,,,,
2023-09-29,3,2,,0,,,0,10,0,10
2023-09-30,3,,,,,,,,,
2023-10-01,5,,,,,,,,,
2023-10-02,5,,,,0,2,0,10,0,10
2023-10-03,6,2,,0,,,,,,
2023-10-04,6,2,,0,0,4,0,10,0,10
2023-10-05,6,2,0,0,,,,,,
2023-10-06,6,2,0,0,0,3,0,10,0,10
2023-10-07,6,,0,,,,,,,
2023-10-08,6,,0,,,,,,,
2023-10-09,6,,0,,,,,,,
2023-10-10,6,2,0,0,0,3,0,10,0,10
2023-10-11,6,2,0,0,0,4,0,10,,
2023-10-12,6,2,0,0,,,,,0,10
2023-10-13,6,,0,0,0,3,0,10,0,12
2023-10-14,6,,0,,,,,,,
2023-10-15,6,,0,,,,,,,
2023-10-16,6,,0,,0,3,0,10,0,10
2023-10-17,7,3,0,0,,,,,,
2023-10-18,8,3,0,0,0,6,0,10,0,10
2023-10-19,9,3,0,0,,,,,,
2023-10-20,9,3,0,1,0,5,0,10,0,10
2023-10-21,9,4,0,1,,,,,,
2023-10-22,10,4,0,1,,,,,,
2023-10-23,10,4,0,1,0,6,0,10,0,10
2023-10-24,10,6,0,2,,,,,,
2023-10-25,10,7,0,3,0,5,0,10,0,10
2023-10-26,10,8,0,4,,,,,,
2023-10-27,10,8,0,5,0,5,0,10,0,11
2023-10-28,12,8,0,6,,,,,,
2023-10-29,15,9,0,6,,,,,,
2023-10-30,15,9,0,6,0,4,0,10,0,10
2023-10-31,15,9,0,6,,,,,,
2023-11-01,15,9,0,6,0,6,0,10,0,10
2023-11-02,16,9,0,6,,,,,,
2023-11-03,17,9,0,6,0,1,0,10,0,10
2023-11-04,17,9,0,6,,,,,,
2023-11-05,17,9,0,6,,,,,,
2023-11-06,17,9,0,6,0,5,0,10,0,10
2023-11-07,17,9,0,6,,,0,10,,
2023-11-08,17,9,0,6,,,,,0,10
2023-11-09,17,9,0,6,0,4,0,10,0,10
2023-11-10,17,9,0,6,,,,,,
2023-11-11,17,9,0,6,,,,,,
2023-11-12,17,9,0,6,,,,,,
2023-11-13,17,9,0,6,0,4,0,10,0,10
2023-11-14,17,9,0,6,,,0,10,,
2023-11-15,17,9,0,6,0,4,,,0,10
2023-11-16,17,9,0,6,0,4,0,10,0,10
2023-11-17,17,9,0,6,,,,,,
2023-11-18,17,9,0,6,,,,,,
2023-11-19,17,9,0,6,,,,,,
2023-11-20,17,9,0,6,0,5,0,10,0,10
2023-11-21,17,9,0,6,0,4,0,10,0,10
2023-11-22,17,9,0,6,0,3,0,10,0,10
2023-11-23,,9,,7,,,,,,
2023-11-24,,9,0,7,,,,,,
2023-11-25,17,9,0,7,,,,,,
2023-11-26,18,10,0,7,,,,,,
2023-11-27,18,10,0,7,0,4,0,10,0,1
2023-11-28,19,10,0,7,,,,,,
2023-11-29,19,10,0,7,0,8,0,10,,
2023-11-30,20,10,0,7,,,,,,
2023-12-01,20,10,0,7,0,7,0,10,0,10
2023-12-02,20,10,0,7,,,,,,
2023-12-03,20,10,0,7,,,,,,
2023-12-04,20,10,0,7,0,6,0,11,0,10
2023-12-05,20,10,0,7,,,0,10,,
2023-12-06,20,10,0,7,0,6,,,0,10
2023-12-07,20,10,0,7,0,6,0,10,0,10
2023-12-08,20,10,0,7,,,,,,
2023-12-09,20,12,0,7,,,,,,
2023-12-10,20,12,0,7,,,,,,
2023-12-11,21,12,0,7,0,5,0,10,0,10
2023-12-12,21,12,0,7,,,,,,
2023-12-13,21,12,0,7,0,4,0,10,0,10
2023-12-14,21,13,0,7,,,,,,
2023-12-15,21,13,0,7,0,6,0,10,0,10
2023-12-16,21,13,0,7,,,,,,
2023-12-17,21,13,0,7,,,,,,
2023-12-18,21,13,0,7,0,7,0,10,0,10
2023-12-19,21,13,0,7,,,,,,
2023-12-20,21,13,0,7,0,6,0,10,0,10
2023-12-21,21,14,0,7,,,,,,
2023-12-22,55,35,0,10,0,4,,,0,10
2023-12-23,80,55,0,141,,,,,,
2023-12-24,107,231,0,221,,,,,,
2023-12-25,,349,,,,,,,,
2023-12-26,,352,,,,,,,0,10
2023-12-27,107,373,0,230,3,6,0,10,0,10
2023-12-28,107,377,0,235,3,5,0,10,0,10
2023-12-29,107,380,0,237,7,5,1,10,,
2023-12-30,107,386,0,240,,,,,,
2023-12-31,,389,0,243,,,,,,
2024-01-01,,,0,245,,,,,,
2024-01-02,164,389,0,,,,2,10,0,10
2024-01-03,168,393,0,270,9,2,11,10,,
2024-01-04,168,395,0,278,10,2,,,0,10
2024-01-05,172,406,0,283,,,12,10,0,10
2024-01-06,178,409,1,287,,,,,,
2024-01-07,179,420,1,289,,,,,,
2024-01-08,179,431,1,291,,,12,10,0,10
2024-01-09,179,433,1,294,,,,,,
2024-01-10,179,435,1,295,10,3,12,10,0,10
2024-01-11,179,435,1,295,10,1,,,,
2024-01-12,179,436,1,295,,,12,10,0,10
2024-01-13,179,436,1,295,,,,,,
2024-01-14,180,436,1,295,,,,,,
2024-01-15,,,1,,,,,,,
2024-01-16,,436,1,296,11,2,12,10,0,10
2024-01-17,188,443,1,,17,2,19,10,,
2024-01-18,190,451,1,298,,,,,0,10
2024-01-19,192,454,1,299,,,21,10,0,10
2024-01-20,201,459,1,304,,,,,,
2024-01-21,,463,1,313,,,,,,
2024-01-22,,463,6,,19,3,23,10,0,10
2024-01-23,201,464,6,,,,,,,
2024-01-24,,464,15,,,,24,10,0,10
2024-01-25,,475,15,,22,2,,,,
2024-01-26,238,479,17,,,,25,10,0,10
2024-01-27,240,485,19,,,,,,,
2024-01-28,,489,23,,,,,,,
2024-01-29,,493,23,,,,25,10,0,3
2024-01-30,240,494,23,314,22,1,25,10,1,11
2024-01-31,240,494,23,314,22,2,,,,
2024-02-01,240,,,,,,25,10,1,10
2024-02-02,,,,,,,28,10,3,10
2024-02-03,241,,23,,,,,,,
2024-02-04,243,,23,,,,,,,
2024-02-05,244,,23,,,,28,10,3,10
2024-02-06,246,,23,315,22,1,29,10,6,10
2024-02-07,,,24,316,,,,,,
2024-02-08,,,24,316,,,30,10,6,10
2024-02-09,,,24,316,,,30,10,8,10
2024-02-10,246,494,24,316,,,,,,
2024-02-11,246,495,25,,,,,,,
2024-02-12,247,496,25,323,,,30,10,10,10
2024-02-13,248,497,26,328,,,31,10,11,10
2024-02-14,249,497,27,329,,,,,,
2024-02-15,249,498,28,329,,,33,10,13,10
2024-02-16,249,498,28,332,,,34,10,14,10
2024-02-17,249,498,31,334,,,,,,
2024-02-18,249,498,31,340,,,,,,
2024-02-19,,498,31,,,,,,,
2024-02-20,,500,,342,,,,,,
2024-02-21,249,500,31,342,,,,,,
2024-02-22,250,503,32,343,,,,,,
2024-02-23,261,503,32,344,,,,,,
2024-02-24,270,506,32,344,,,,,,
2024-02-25,,506,32,344,,,35,10,,
2024-02-26,,506,32,,,,35,10,16,10
2024-02-27,,508,32,347,,,35,10,17,10
2024-02-28,270,508,32,347,,,,,,
2024-02-29,270,509,32,348,,,35,10,17,10
2024-03-01,270,509,32,351,,,35,10,17,10
2024-03-02,270,509,32,351,,,,,,
2024-03-03,270,509,32,351,,,35,10,17,10
2024-03-04,270,510,32,351,,,35,10,17,10
2024-03-05,270,510,32,351,,,35,10,18,10
2024-03-06,270,511,32,351,,,,,,
2024-03-07,270,511,32,352,,,36,10,19,10
2024-03-08,271,516,32,352,22,1,37,10,21,10
2024-03-09,271,516,32,354,,,,,,
2024-03-10,271,516,32,357,,,37,10,21,10
2024-03-11,271,517,32,360,,,37,10,22,11
2024-03-12,271,,32,360,,,37,10,23,10
2024-03-13,271,517,32,360,,,,,,
2024-03-14,272,517,32,362,,,37,10,,
2024-03-15,272,517,32,363,,,38,10,,
2024-03-16,272,517,32,364,,,,,,
2024-03-17,,517,32,364,,,38,10,25,10
2024-03-18,,517,32,364,,,39,10,26,10
2024-03-19,272,517,32,364,,,39,11,28,10
2024-03-20,272,517,32,,,,39,10,30,10
2024-03-21,272,517,32,,,,40,10,34,10
2024-03-22,272,517,32,364,,,,,,
2024-03-23,272,517,32,365,,,,,,
2024-03-24,272,517,32,365,,,,,37,10
2024-03-25,272,517,32,366,,,41,11,37,10
2024-03-26,272,518,,366,,,42,10,38,10
2024-03-27,272,518,32,366,22,1,,,,
2024-03-28,272,518,32,366,,,42,10,45,10
2024-03-29,272,518,32,366,,,43,10,46,10
2024-03-30,,518,32,366,,,,,,
2024-03-31,,518,32,367,,,,,,
2024-04-01,,518,32,,22,3,43,10,48,10
2024-04-02,,518,32,,,,43,11,50,10
2024-04-03,272,518,32,367,,,,,,
2024-04-04,272,518,32,367,,,44,10,51,10
2024-04-05,272,518,32,367,,,45,10,55,10
2024-04-06,272,518,32,367,,,,,,
2024-04-07,272,518,32,367,,,,,,
2024-04-08,272,518,32,367,,,45,10,56,10
2024-04-09,272,518,32,367,,,45,10,56,11
2024-04-10,272,518,32,367,22,2,,,,
2024-04-11,272,518,32,367,,,45,10,57,10
2024-04-12,272,518,32,367,22,2,45,10,61,7
2024-04-13,272,518,32,367,,,,,,
2024-04-14,272,518,32,367,,,,,,
2024-04-15,272,518,32,367,,,45,11,65,10
2024-04-16,272,518,32,367,22,2,45,10,65,10
2024-04-17,272,518,32,367,22,2,45,11,66,10
2024-04-18,272,518,32,367,,,45,10,66,10
2024-04-19,272,518,32,367,,,,,,
2024-04-20,,518,32,367,,,,,,
2024-04-21,,518,32,367,,,,,,
2024-04-22,,518,32,367,22,1,45,11,66,4
2024-04-23,272,518,32,367,,,45,10,66,10
2024-04-24,272,518,32,367,,,,,,
2024-04-25,272,518,32,367,22,1,45,10,66,10
2024-04-26,272,518,32,367,,,45,10,66,10
2024-04-27,272,518,32,367,,,,,,
2024-04-28,272,518,32,367,,,,,,
2024-04-29,272,518,32,,22,1,45,10,66,10
2024-04-30,272,518,32,367,,,45,10,66,11
2024-05-01,272,518,32,367,,,,,,
2024-05-02,272,518,32,367,,,45,10,66,10
2024-05-03,272,518,32,367,22,1,45,10,66,10
2024-05-04,272,518,32,367,,,,,,
2024-05-05,272,518,32,367,,,,,,
2024-05-06,272,518,32,367,,,45,10,66,10
2024-05-07,272,518,32,367,,,,,,
2024-05-08,272,518,32,367,22,1,45,10,66,10
2024-05-09,272,518,,367,22,2,,,,
2024-05-10,272,518,32,367,,,45,10,66,10
2024-05-11,272,518,32,367,,,,,,
2024-05-12,272,518,32,367,,,,,,
2024-05-13,272,518,32,367,22,1,45,10,66,10
2024-05-14,272,518,32,367,,,,,66,10
2024-05-15,272,518,32,367,22,2,45,10,66,10
2024-05-16,272,,32,367,,,45,10,,
2024-05-17,272,,32,367,,,,,,
2024-05-18,272,518,32,367,,,,,,
2024-05-19,272,,32,367,,,,,,
2024-05-20,272,,32,367,,,45,10,66,10
2024-05-21,272,,32,367,,,,,,
2024-05-22,272,,32,367,,,45,11,66,10
2024-05-23,272,518,32,367,22,1,,,,
2024-05-24,272,518,32,367,22,2,45,10,66,10
2024-05-25,272,,32,,,,,,,
2024-05-26,272,,32,,,,,,,
2024-05-27,,,32,,,,,,,
2024-05-28,,518,32,367,,,45,10,66,10
2024-05-29,272,518,32,367,,,45,10,,
2024-05-30,272,518,32,367,,,,,66,10
2024-05-31,272,518,32,367,22,1,45,10,66,10
2024-06-01,272,518,32,367,,,,,,
2024-06-02,272,518,32,367,,,,,,
2024-06-03,272,518,32,367,22,2,45,10,66,10
2024-06-04,272,518,32,367,,,,,,
2024-06-05,272,,32,367,,,45,10,66,10
2024-06-06,,,32,367,22,2,,,,
2024-06-07,,,32,,,,45,10,,
2024-06-08,,,32,,,,,,,
2024-06-09,,,32,,,,,,,
2024-06-10,,,32,,,,45,10,66,10
2024-06-11,,,32,,22,2,,,,
2024-06-12,,,32,,,,45,10,66,10
2024-06-13,,,32,,22,2,,,,
2024-06-14,,,,,,,45,10,66,10
2024-06-15,,,,,,,,,,
2024-06-16,,,,,,,,,,
2024-06-17,,,,,,,45,10,66,10
2024-06-18,,,,,,,45,10,,
2024-06-19,,,,,,,,,,
2024-06-20,,,,,,,,,66,10
2024-06-21,,,,,22,2,45,11,66,10
2024-06-22,,,,,,,,,,
2024-06-23,,,,,,,,,,
2024-06-24,,,,,,,45,10,66,10
2024-06-25,,,,,22,2,45,10,66,4
,,,,,,,,,,
Notes:,,,,,,,,,,
Generated 25 Jun 2024 12:12:26 PDT. Cohort Juvenile Monitoring www.cbr.washington.edu/sacramento/data/query_sampling_graph.html.,,,,,,,,,,
KNL; TIS; LFR; LSR based on Daily Sampling. Preliminary data from CDFW via StreamNet. Beach Seines and Trawls preliminary data from USFWS Lodi.,,,,,,,,,,
Data Disclaimer: Please note these data are preliminary and are subject to revision and correction.,,,,,,,,,,
"Citation. Columbia Basin Research, University of Washington. (2024). SacPAS Cohort Juvenile Monitoring. Available from www.cbr.washington.edu/sacramento/data/query_sampling_graph.html.",,,,,,,,,,
