Date,Raw Tisdale Weir RST,Raw Knights Landing RST,Raw Lower Feather RST,Raw Lower Sacramento RST,Raw Sacramento Beach Seines (SR080E SR071E SR062E SR057E SR055E SR060E AM001S SR049E),Samples Sacramento Beach Seines (SR080E SR071E SR062E SR057E SR055E SR060E AM001S SR049E),Raw Sacramento Trawls (SR055M SR055E SR055W SR055X),Samples Sacramento Trawls (SR055M SR055E SR055W SR055X),Raw Chipps Island Trawls (SB018M SB018N SB018S SB018X),Samples Chipps Island Trawls (SB018M SB018N SB018S SB018X)
2023-07-03,,,0,,,,0,10,,
2023-07-04,,,0,,,,,,,
2023-07-05,,,,,0,1,0,9,0,10
2023-07-06,,,,,0,1,,,,
2023-07-07,,,,,,,0,10,0,10
2023-07-08,,,,,,,,,,
2023-07-09,,,,,,,,,,
2023-07-10,,,,,,,0,10,0,10
2023-07-11,,,,,,,,,,
2023-07-12,,,,,,,0,10,,
2023-07-13,,,,,0,2,,,0,10
2023-07-14,,,,,0,2,0,10,0,10
2023-07-15,,,,,,,,,,
2023-07-16,,,,,,,,,,
2023-07-17,,,,,,,0,10,0,10
2023-07-18,,,,,,,,,,
2023-07-19,,,,,,,0,10,0,10
2023-07-20,,,,,,,,,,
2023-07-21,,,,,0,1,0,10,0,10
2023-07-22,,,,,,,,,,
2023-07-23,,,,,,,,,,
2023-07-24,,,,,,,0,10,0,10
2023-07-25,,,,,,,,,,
2023-07-26,,,,,,,0,10,0,5
2023-07-27,,,,,0,1,,,,
2023-07-28,,,,,,,0,10,,
2023-07-29,,,,,,,,,,
2023-07-30,,,,,,,,,,
2023-07-31,,,,,,,,,,
2023-08-01,,,,,,,,,,
2023-08-02,,,,,,,,,,
2023-08-03,,,,,,,,,,
2023-08-04,,,,,,,,,,
2023-08-05,,,,,,,,,,
2023-08-06,,,,,,,,,,
2023-08-07,,,,,,,0,10,0,10
2023-08-08,,,,,,,,,,
2023-08-09,,,,,,,0,10,0,10
2023-08-10,,,,,0,3,,,,
2023-08-11,,,,,,,0,10,,
2023-08-12,,,,,,,,,,
2023-08-13,,,,,,,,,,
2023-08-14,,,,,,,0,10,,
2023-08-15,,,,,,,,,,
2023-08-16,,,,,,,0,10,0,3
2023-08-17,,,,,0,3,,,,
2023-08-18,,,,,,,0,10,,
2023-08-19,,,,,,,,,,
2023-08-20,,,,,,,,,,
2023-08-21,,,,,,,0,10,0,8
2023-08-22,,,,,0,1,,,,
2023-08-23,,,,,,,0,10,0,2
2023-08-24,,,,,0,2,,,,
2023-08-25,,,,,,,0,10,0,3
2023-08-26,,,,,,,,,,
2023-08-27,,,,,,,0,9,,
2023-08-28,,,,,,,0,10,0,10
2023-08-29,,,,,,,,,,
2023-08-30,,,,,,,0,1,0,10
2023-08-31,0,,,,0,2,,,,
2023-09-01,0,,,,0,2,0,10,0,2
2023-09-02,0,,,,,,,,,
2023-09-03,0,,,,,,,,,
2023-09-04,0,,,,,,,,,
2023-09-05,0,,,,0,1,0,10,0,10
2023-09-06,0,,,,,,0,10,,
2023-09-07,0,,,,0,2,,,0,10
2023-09-08,0,,,,,,0,10,0,10
2023-09-09,0,,,,,,,,,
2023-09-10,0,,,,,,,,,
2023-09-11,0,,,,,,0,10,0,10
2023-09-12,0,,,,,,,,,
2023-09-13,0,0,,,0,1,0,10,0,10
2023-09-14,1,0,,,0,2,,,,
2023-09-15,0,0,,,,,0,10,0,8
2023-09-16,0,,,,,,,,,
2023-09-17,0,,,,,,,,,
2023-09-18,1,,,,,,0,10,0,10
2023-09-19,0,0,,0,0,2,,,,
2023-09-20,0,0,,0,,,0,2,0,5
2023-09-21,0,0,,0,0,2,,,,
2023-09-22,0,0,,0,,,0,2,0,10
2023-09-23,0,,,,,,,,,
2023-09-24,0,,,,,,,,,
2023-09-25,0,,,,,,0,10,0,10
2023-09-26,0,1,,0,0,1,,,,
2023-09-27,0,0,,0,,,0,10,0,10
2023-09-28,0,1,,0,0,2,,,,
2023-09-29,1,0,,0,,,0,10,0,10
2023-09-30,0,,,,,,,,,
2023-10-01,2,,,,,,,,,
2023-10-02,0,,,,0,2,0,10,0,10
2023-10-03,1,0,,0,,,,,,
2023-10-04,0,0,,0,0,4,0,10,0,10
2023-10-05,0,0,0,0,,,,,,
2023-10-06,0,0,0,0,0,3,0,10,0,10
2023-10-07,0,,0,,,,,,,
2023-10-08,0,,0,,,,,,,
2023-10-09,0,,0,,,,,,,
2023-10-10,0,0,0,0,0,3,0,10,0,10
2023-10-11,0,0,0,0,0,4,0,10,,
2023-10-12,0,0,0,0,,,,,0,10
2023-10-13,0,,0,0,0,3,0,10,0,12
2023-10-14,0,,0,,,,,,,
2023-10-15,0,,0,,,,,,,
2023-10-16,0,,0,,0,3,0,10,0,10
2023-10-17,1,1,0,0,,,,,,
2023-10-18,1,0,0,0,0,6,0,10,0,10
2023-10-19,1,0,0,0,,,,,,
2023-10-20,0,0,0,1,0,5,0,10,0,10
2023-10-21,0,1,0,0,,,,,,
2023-10-22,1,0,0,0,,,,,,
2023-10-23,0,0,0,0,0,6,0,10,0,10
2023-10-24,0,2,0,1,,,,,,
2023-10-25,0,1,0,1,0,5,0,10,0,10
2023-10-26,0,1,0,1,,,,,,
2023-10-27,0,0,0,1,0,5,0,10,0,11
2023-10-28,2,0,0,1,,,,,,
2023-10-29,3,1,0,0,,,,,,
2023-10-30,0,0,0,0,0,4,0,10,0,10
2023-10-31,0,0,0,0,,,,,,
2023-11-01,0,0,0,0,0,6,0,10,0,10
2023-11-02,1,0,0,0,,,,,,
2023-11-03,1,0,0,0,0,1,0,10,0,10
2023-11-04,0,0,0,0,,,,,,
2023-11-05,0,0,0,0,,,,,,
2023-11-06,0,0,0,0,0,5,0,10,0,10
2023-11-07,0,0,0,0,,,0,10,,
2023-11-08,0,0,0,0,,,,,0,10
2023-11-09,0,0,0,0,0,4,0,10,0,10
2023-11-10,0,0,0,0,,,,,,
2023-11-11,0,0,0,0,,,,,,
2023-11-12,0,0,0,0,,,,,,
2023-11-13,0,0,0,0,0,4,0,10,0,10
2023-11-14,0,0,0,0,,,0,10,,
2023-11-15,0,0,0,0,0,4,,,0,10
2023-11-16,0,0,0,0,0,4,0,10,0,10
2023-11-17,0,0,0,0,,,,,,
2023-11-18,0,0,0,0,,,,,,
2023-11-19,0,0,0,0,,,,,,
2023-11-20,0,0,0,0,0,5,0,10,0,10
2023-11-21,0,0,0,0,0,4,0,10,0,10
2023-11-22,0,0,0,0,0,3,0,10,0,10
2023-11-23,,0,,1,,,,,,
2023-11-24,,0,0,0,,,,,,
2023-11-25,0,0,0,0,,,,,,
2023-11-26,1,1,0,0,,,,,,
2023-11-27,0,0,0,0,0,4,0,10,0,1
2023-11-28,1,0,0,0,,,,,,
2023-11-29,0,0,0,0,0,8,0,10,,
2023-11-30,1,0,0,0,,,,,,
2023-12-01,0,0,0,0,0,7,0,10,0,10
2023-12-02,0,0,0,0,,,,,,
2023-12-03,0,0,0,0,,,,,,
2023-12-04,0,0,0,0,0,6,0,11,0,10
2023-12-05,0,0,0,0,,,0,10,,
2023-12-06,0,0,0,0,0,6,,,0,10
2023-12-07,0,0,0,0,0,6,0,10,0,10
2023-12-08,0,0,0,0,,,,,,
2023-12-09,0,2,0,0,,,,,,
2023-12-10,0,0,0,0,,,,,,
2023-12-11,1,0,0,0,0,5,0,10,0,10
2023-12-12,0,0,0,0,,,,,,
2023-12-13,0,0,0,0,0,4,0,10,0,10
2023-12-14,0,1,0,0,,,,,,
2023-12-15,0,0,0,0,0,6,0,10,0,10
2023-12-16,0,0,0,0,,,,,,
2023-12-17,0,0,0,0,,,,,,
2023-12-18,0,0,0,0,0,7,0,10,0,10
2023-12-19,0,0,0,0,,,,,,
2023-12-20,0,0,0,0,0,6,0,10,0,10
2023-12-21,0,1,0,0,,,,,,
2023-12-22,34,21,0,3,0,4,,,0,10
2023-12-23,25,20,0,131,,,,,,
2023-12-24,27,176,0,80,,,,,,
2023-12-25,,118,,,,,,,,
2023-12-26,,3,,,,,,,0,10
2023-12-27,0,21,0,9,3,6,0,10,0,10
2023-12-28,0,4,0,5,0,5,0,10,0,10
2023-12-29,0,3,0,2,4,5,1,10,,
2023-12-30,0,6,0,3,,,,,,
2023-12-31,,3,0,3,,,,,,
2024-01-01,,,0,2,,,,,,
2024-01-02,57,0,0,,,,1,10,0,10
2024-01-03,4,4,0,25,2,2,9,10,,
2024-01-04,0,2,0,8,1,2,,,0,10
2024-01-05,4,11,0,5,,,1,10,0,10
2024-01-06,6,3,1,4,,,,,,
2024-01-07,1,11,0,2,,,,,,
2024-01-08,0,11,0,2,,,0,10,0,10
2024-01-09,0,2,0,3,,,,,,
2024-01-10,0,2,0,1,0,3,0,10,0,10
2024-01-11,0,0,0,0,0,1,,,,
2024-01-12,0,1,0,0,,,0,10,0,10
2024-01-13,0,0,0,0,,,,,,
2024-01-14,1,0,0,0,,,,,,
2024-01-15,,,0,,,,,,,
2024-01-16,,0,0,1,1,2,0,10,0,10
2024-01-17,8,7,0,,6,2,7,10,,
2024-01-18,2,8,0,2,,,,,0,10
2024-01-19,2,3,0,1,,,2,10,0,10
2024-01-20,9,5,0,5,,,,,,
2024-01-21,,4,0,9,,,,,,
2024-01-22,,0,5,,2,3,2,10,0,10
2024-01-23,0,1,0,,,,,,,
2024-01-24,,0,9,,,,1,10,0,10
2024-01-25,,11,0,,3,2,,,,
2024-01-26,37,4,2,,,,1,10,0,10
2024-01-27,2,6,2,,,,,,,
2024-01-28,,4,4,,,,,,,
2024-01-29,,4,0,,,,0,10,0,3
2024-01-30,0,1,0,1,0,1,0,10,1,11
2024-01-31,0,0,0,0,0,2,,,,
2024-02-01,0,,,,,,0,10,0,10
2024-02-02,,,,,,,3,10,2,10
2024-02-03,1,,0,,,,,,,
2024-02-04,2,,0,,,,,,,
2024-02-05,1,,0,,,,0,10,0,10
2024-02-06,2,,0,1,0,1,1,10,3,10
2024-02-07,,,1,1,,,,,,
2024-02-08,,,0,0,,,1,10,0,10
2024-02-09,,,0,0,,,0,10,2,10
2024-02-10,0,0,0,0,,,,,,
2024-02-11,0,1,1,,,,,,,
2024-02-12,1,1,0,7,,,0,10,2,10
2024-02-13,1,1,1,5,,,1,10,1,10
2024-02-14,1,0,1,1,,,,,,
2024-02-15,0,1,1,0,,,2,10,2,10
2024-02-16,0,0,0,3,,,1,10,1,10
2024-02-17,0,0,3,2,,,,,,
2024-02-18,0,0,0,6,,,,,,
2024-02-19,,0,0,,,,,,,
2024-02-20,,2,,2,,,,,,
2024-02-21,0,0,0,0,,,,,,
2024-02-22,1,3,1,1,,,,,,
2024-02-23,11,0,0,1,,,,,,
2024-02-24,9,3,0,0,,,,,,
2024-02-25,,0,0,0,,,1,10,,
2024-02-26,,0,0,,,,0,10,2,10
2024-02-27,,2,0,3,,,0,10,1,10
2024-02-28,0,0,0,0,,,,,,
2024-02-29,0,1,0,1,,,0,10,0,10
2024-03-01,0,0,0,3,,,0,10,0,10
2024-03-02,0,0,0,0,,,,,,
2024-03-03,0,0,0,0,,,0,10,0,10
2024-03-04,0,1,0,0,,,0,10,0,10
2024-03-05,0,0,0,0,,,0,10,1,10
2024-03-06,0,1,0,0,,,,,,
2024-03-07,0,0,0,1,,,1,10,1,10
2024-03-08,1,5,0,0,0,1,1,10,2,10
2024-03-09,0,0,0,2,,,,,,
2024-03-10,0,0,0,3,,,0,10,0,10
2024-03-11,0,1,0,3,,,0,10,1,11
2024-03-12,0,,0,0,,,0,10,1,10
2024-03-13,0,0,0,0,,,,,,
2024-03-14,1,0,0,2,,,0,10,,
2024-03-15,0,0,0,1,,,1,10,,
2024-03-16,0,0,0,1,,,,,,
2024-03-17,,0,0,0,,,0,10,2,10
2024-03-18,,0,0,0,,,1,10,1,10
2024-03-19,0,0,0,0,,,0,11,2,10
2024-03-20,0,0,0,,,,0,10,2,10
2024-03-21,0,0,0,,,,1,10,4,10
2024-03-22,0,0,0,0,,,,,,
2024-03-23,0,0,0,1,,,,,,
2024-03-24,0,0,0,0,,,,,3,10
2024-03-25,0,0,0,1,,,1,11,0,10
2024-03-26,0,1,,0,,,1,10,1,10
2024-03-27,0,0,0,0,0,1,,,,
2024-03-28,0,0,0,0,,,0,10,7,10
2024-03-29,0,0,0,0,,,1,10,1,10
2024-03-30,,0,0,0,,,,,,
2024-03-31,,0,0,1,,,,,,
2024-04-01,,0,0,,0,3,0,10,2,10
2024-04-02,,0,0,,,,0,11,2,10
2024-04-03,0,0,0,0,,,,,,
2024-04-04,0,0,0,0,,,1,10,1,10
2024-04-05,0,0,0,0,,,1,10,4,10
2024-04-06,0,0,0,0,,,,,,
2024-04-07,0,0,0,0,,,,,,
2024-04-08,0,0,0,0,,,0,10,1,10
2024-04-09,0,0,0,0,,,0,10,0,11
2024-04-10,0,0,0,0,0,2,,,,
2024-04-11,0,0,0,0,,,0,10,1,10
2024-04-12,0,0,0,0,0,2,0,10,4,7
2024-04-13,0,0,0,0,,,,,,
2024-04-14,0,0,0,0,,,,,,
2024-04-15,0,0,0,0,,,0,11,4,10
2024-04-16,0,0,0,0,0,2,0,10,0,10
2024-04-17,0,0,0,0,0,2,0,11,1,10
2024-04-18,0,0,0,0,,,0,10,0,10
2024-04-19,0,0,0,0,,,,,,
2024-04-20,,0,0,0,,,,,,
2024-04-21,,0,0,0,,,,,,
2024-04-22,,0,0,0,0,1,0,11,0,4
2024-04-23,0,0,0,0,,,0,10,0,10
2024-04-24,0,0,0,0,,,,,,
2024-04-25,0,0,0,0,0,1,0,10,0,10
2024-04-26,0,0,0,0,,,0,10,0,10
2024-04-27,0,0,0,0,,,,,,
2024-04-28,0,0,0,0,,,,,,
2024-04-29,0,0,0,,0,1,0,10,0,10
2024-04-30,0,0,0,0,,,0,10,0,11
2024-05-01,0,0,0,0,,,,,,
2024-05-02,0,0,0,0,,,0,10,0,10
2024-05-03,0,0,0,0,0,1,0,10,0,10
2024-05-04,0,0,0,0,,,,,,
2024-05-05,0,0,0,0,,,,,,
2024-05-06,0,0,0,0,,,0,10,0,10
2024-05-07,0,0,0,0,,,,,,
2024-05-08,0,0,0,0,0,1,0,10,0,10
2024-05-09,0,0,,0,0,2,,,,
2024-05-10,0,0,0,0,,,0,10,0,10
2024-05-11,0,0,0,0,,,,,,
2024-05-12,0,0,0,0,,,,,,
2024-05-13,0,0,0,0,0,1,0,10,0,10
2024-05-14,0,0,0,0,,,,,0,10
2024-05-15,0,0,0,0,0,2,0,10,0,10
2024-05-16,0,,0,0,,,0,10,,
2024-05-17,0,,0,0,,,,,,
2024-05-18,0,0,0,0,,,,,,
2024-05-19,0,,0,0,,,,,,
2024-05-20,0,,0,0,,,0,10,0,10
2024-05-21,0,,0,0,,,,,,
2024-05-22,0,,0,0,,,0,11,0,10
2024-05-23,0,0,0,0,0,1,,,,
2024-05-24,0,0,0,0,0,2,0,10,0,10
2024-05-25,0,,0,,,,,,,
2024-05-26,0,,0,,,,,,,
2024-05-27,,,0,,,,,,,
2024-05-28,,0,0,0,,,0,10,0,10
2024-05-29,0,0,0,0,,,0,10,,
2024-05-30,0,0,0,0,,,,,0,10
2024-05-31,0,0,0,0,0,1,0,10,0,10
2024-06-01,0,0,0,0,,,,,,
2024-06-02,0,0,0,0,,,,,,
2024-06-03,0,0,0,0,0,2,0,10,0,10
2024-06-04,0,0,0,0,,,,,,
2024-06-05,0,,0,0,,,0,10,0,10
2024-06-06,,,0,0,0,2,,,,
2024-06-07,,,0,,,,0,10,,
2024-06-08,,,0,,,,,,,
2024-06-09,,,0,,,,,,,
2024-06-10,,,0,,,,0,10,0,10
2024-06-11,,,0,,0,2,,,,
2024-06-12,,,0,,,,0,10,0,10
2024-06-13,,,0,,0,2,,,,
2024-06-14,,,,,,,0,10,0,10
2024-06-15,,,,,,,,,,
2024-06-16,,,,,,,,,,
2024-06-17,,,,,,,0,10,0,10
2024-06-18,,,,,,,0,10,,
2024-06-19,,,,,,,,,,
2024-06-20,,,,,,,,,0,10
2024-06-21,,,,,0,2,0,11,0,10
2024-06-22,,,,,,,,,,
2024-06-23,,,,,,,,,,
2024-06-24,,,,,,,0,10,0,10
2024-06-25,,,,,0,2,0,10,0,4

Notes:
Generated 25 Jun 2024 12:46:13 PDT. Cohort Juvenile Monitoring www.cbr.washington.edu/sacramento/data/query_sampling_graph.html.
KNL; TIS; LFR; LSR based on Daily Sampling. Preliminary data from CDFW via StreamNet. Beach Seines and Trawls preliminary data from USFWS Lodi.
Data Disclaimer: Please note these data are preliminary and are subject to revision and correction.
"Citation. Columbia Basin Research, University of Washington. (2024). SacPAS Cohort Juvenile Monitoring. Available from www.cbr.washington.edu/sacramento/data/query_sampling_graph.html."
